timestamp,open,high,low,close,volume
3/8/24,25.11,25.12,25.0801,25.095,4930
3/7/24,25.1531,25.1599,25.02,25.07,12050
3/6/24,25.03,25.135,25.03,25.06,9413
3/5/24,25.04,25.15,25.04,25.1,4016
3/4/24,25.16,25.16,25.0101,25.06,37833
3/1/24,25.0369,25.15,25.02,25.105,18543
2/29/24,25.0932,25.11,25.0257,25.075,5176
2/28/24,25.15,25.15,25.01,25.063,15353
2/27/24,25.1301,25.2101,25.1301,25.21,3669
2/26/24,25.18,25.26,25.13,25.1825,6112
2/23/24,25.155,25.19,25.121,25.165,8024
2/22/24,25.15,25.1599,25.1261,25.155,996
2/21/24,25.15,25.1899,25.1481,25.155,8824
2/20/24,25.12,25.15,25.11,25.15,2369
2/16/24,25.22,25.22,25.0999,25.124,7167
2/15/24,25.12,25.13,25.07,25.13,3510
2/14/24,25.05,25.1921,25.05,25.135,12152
2/13/24,25.2,25.2,25.07,25.135,11079
2/12/24,25.11,25.19,25.05,25.12,3870
2/9/24,25.115,25.115,25.115,25.115,15291
2/8/24,25.1,25.12,25.05,25.09,6593
2/7/24,25.07,25.16,25.0661,25.105,9839
2/6/24,25.0497,25.11,25.0497,25.11,4152
2/5/24,25.06,25.1313,25.01,25.09,22875
2/2/24,25.1277,25.1277,25.075,25.075,2227
2/1/24,25.1221,25.1499,25.0201,25.085,5860
1/31/24,25.065,25.12,25.0001,25.065,3472
1/30/24,25.01,25.13,25.01,25.12,2518
1/29/24,25.15,25.15,25.11,25.11,1712
1/26/24,25.12,25.2283,25.09,25.16,14379
1/25/24,25.16,25.1634,25.125,25.125,3759
1/24/24,25.12,25.16,25.08,25.125,1311
1/23/24,25.0901,25.11,25.08,25.11,4830
1/22/24,25.12,25.17,25.12,25.13,2423
1/19/24,25.11,25.1585,25.07,25.12,3107
1/18/24,25.12,25.1796,25.04,25.105,10961
1/17/24,25.1,25.17,25.0583,25.115,8940
1/16/24,25.08,25.1499,25.05,25.085,6843
1/12/24,25.03,25.13,25.03,25.085,14096
1/11/24,25.05,25.065,25.02,25.03,13993
1/10/24,25.14,25.14,25.0001,25.065,7441
1/9/24,25.11,25.11,25.05,25.06,4437
1/8/24,25.11,25.11,24.9983,25.0451,9157
1/5/24,25.04,25.04,25,25.02,5620
1/4/24,25.035,25.0849,24.9805,25.035,2934
1/3/24,25.02,25.08,24.9835,25.025,7543
1/2/24,25.08,25.08,25,25.02,6299
12/29/23,25.02,25.0336,24.96,24.96,6303
12/28/23,25.13,25.13,24.95,25.005,18970
12/27/23,25.0001,25.15,25.0001,25.12,2757
12/26/23,25.0893,25.09,25.045,25.045,582
12/22/23,24.96,25.062,24.96,25.055,1816
12/21/23,25.12,25.13,24.9501,25.045,10507
12/20/23,25.1,25.1,25.01,25.07,14085
12/19/23,25.0101,25.1099,25,25.09,4543
12/18/23,25.07,25.07,24.9501,25.01,4847
12/15/23,25,25.07,25,25.03,5583
12/14/23,25.05,25.05,24.9581,25,5420
12/13/23,25.03,25.0428,24.95,25,3341
12/12/23,25.04,25.04,24.995,24.995,8547
12/11/23,24.95,25.02,24.95,25.01,2099
12/8/23,24.9505,24.9505,24.95,24.95,631
12/7/23,24.9501,24.99,24.95,24.95,5206
12/6/23,24.9331,24.9999,24.9,24.95,9216
12/5/23,24.94,24.94,24.88,24.895,6422
12/4/23,24.93,24.93,24.85,24.86,4860
12/1/23,24.93,24.93,24.79,24.8033,7466
11/30/23,25.04,25.05,24.98,25.05,2195
11/29/23,24.975,25.04,24.91,24.975,5464
11/28/23,24.91,25,24.91,24.95,3617
11/27/23,24.99,24.99,24.9112,24.975,1594
11/24/23,24.92,25.01,24.92,24.955,985
11/22/23,25.01,25.01,24.8801,24.9155,2267
11/21/23,24.8701,24.935,24.8701,24.935,1964
11/20/23,24.955,24.955,24.8501,24.915,1577
11/17/23,24.98,25,24.98,24.98,2699
11/16/23,24.99,24.99,24.85,24.93,10404
11/15/23,24.8183,24.9799,24.8183,24.915,12582
11/14/23,24.91,24.9282,24.8601,24.895,8010
11/13/23,24.91,24.91,24.855,24.855,5807
11/10/23,24.86,24.9,24.8241,24.875,22393
11/9/23,24.86,24.9,24.8144,24.85,41203
11/8/23,24.85,24.89,24.85,24.85,3181
11/7/23,24.88,24.88,24.83,24.83,729
11/6/23,24.9,24.9,24.7836,24.83,2230
11/3/23,24.94,24.94,24.875,24.875,2642
11/2/23,24.87,24.91,24.84,24.84,1422
11/1/23,24.8236,24.92,24.8236,24.855,4880
10/31/23,24.93,24.94,24.905,24.905,2217
10/30/23,24.9098,24.92,24.87,24.87,3371
10/27/23,24.841,24.88,24.841,24.87,945
10/26/23,24.93,24.965,24.88,24.88,3094
10/25/23,24.85,24.9,24.85,24.88,2399
10/24/23,24.855,24.855,24.855,24.855,1095
10/23/23,24.8,24.84,24.8,24.84,388
10/20/23,24.8834,25.17,24.8001,24.8565,14870
10/19/23,24.85,24.8803,24.85,24.85,1074
10/18/23,24.845,24.845,24.8188,24.845,1025
10/17/23,24.85,24.85,24.83,24.83,523
10/16/23,24.86,24.86,24.825,24.825,4041
